1,عدم ثبت کد ملی
2,کد ملی اشتباه
3,خطا در کد ملی
4,خطای کد ملی
5,عدم امکان ارسال لینک
6,لینک خرید مستقیم
7,عدم تغییر در پیمانکار
8,عدم امکان ارسال به نصب
9,خطای ارسال نصب
10,عدم امکان ایجاد سابقه
11,خطای ثبت سابقه
12,خطای تلفن
13,تغییر تلفن
14,عدم امکان تغییر درخواست
15,درخواست خرید
16,خرید کنتور
17,خطای عدم وجود اطلاعات
18,ارسال لینک مستقیم
19,عدم وجود کنتور
20,درخواست کابل
21,کابل انشعاب
22,اختصاص کابل
23,عدم ثبت اطلاعات تجهیز
24,لینک ارسال مستقیم
25,خرید کنتور توسط متقاضی
26,متقاضی تعهد شرکت
27,متقاضی خرید مستقیم
28,قیمت تجهیزات
29,فیش هزینه انشعاب
30,اصلاح فیش 
31,اصلاح هزینه انشعاب
32,معافیت
33,ثبت معافیت
34,معافیت خرید مستقیم
35,معافیت در پرداخت هزینه انشعاب
36,بازگشت وجه انشعاب
37,جمع آوری 
38,جمع آوری هزینه انشعاب
39,جمع آوری درخواست
40,تعویض لوازم
41,عدم امکان ثبت درخواست تعویض
42,عدم موجودی کنتور
43,موجودی ناحیه
44,خطای ایجاد سابقه
45,خطا درخواست
46,کمسیون طرح
47,کمیسون
48,سامانه سنم
49,بایگانی درخواست
50,حذف درخواست
51,نصب انشعاب
52,نصب درخواست
53,نصب کنتور
54,تغییر کد ملی
55,تغییر نام
56,تغییر نام درخواست
57,درخواست تغییر نام
58,تغییر شماره تلفن
59,تغییر نماینده
60,ثبت نماینده
61,بازگشت هزینه کنتور
62,بازگشت وجه کنتور
63,بازگشت از خرید کنتور
64,کنتور خریداری شده
65,عدم نمایش کنتور خریداری شده
66,درخواست تایید خرید
67,تایید خرید
68,تایید خرید کنتور
69,تایید هزینه انشعاب
70,تایید معافیت
71,تایید معافیت کنتور
72,درخواست تغییر نام انشعاب درخواستی
73,تغییر نام انشعاب
74,تغییر نام در درخواست انشعاب
75,انشعاب
76,کنتور
77,فیش
78,کمیسیون
79,تغیییر کمیسیون
80,جابه جایی
81,جابه جایی تجهیزات
82,جابه جایی کنتور
83,جا به جایی انشعاب
84,افزایش آمپراژ
85,عدم ثبت افزایش آمپراژ
86,خطای افزایش
87,تغییرات درخواست
88,تغییر در درخواست
89,کاهش آمپراژ
90,تغییرات قدرت
91,تغییرات قدرت درخواست
92,تغییرات
93,ثبت
94,درخواست معافیت در خرید مستقیم
95,درخواست
96,شماره درخواست
97,توافق نامه
98,جمع آوری
99,عدم ثبت درخواست
100,عدم ثبت کد ملی درخواست
